date,location,category,crop,status,image_URL,target_URL
6/8/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/9/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/13/22,Davis,Drone Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/15/22,Kearney,Drone Imaging,CB,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/15/22,Kearney,Rover Imaging,CB,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/17/22,Davis,Rover Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/20/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/22/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/22/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/24/22,Davis,Rover Imaging,Sorghum,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/27/22,Davis,Drone Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/27/22,Davis,Rover Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/29/22,Davis,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
6/29/22,Davis,Rover Imaging,Legumes,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/29/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
6/29/22,Kearney,Physio Measurement,,,,https://ucdavis.app.box.com/folder/179269155158
6/29/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/5/22,Kearney,Drone Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/5/22,Kearney,Rover Imaging,CP,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/5/22,Kearney,Drone Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/5/22,Kearney,Rover Imaging,CB,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
7/6/22,Davis,Drone Imaging,Legumes,In process,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,
